x,y,depth,u,A,SG,SGI,SedRate
4.215018e+05,3.855438e+06,2.158900e+01,2.615553e-01,9.006000e+04,1.435418e-02,1.554972e-10,0.000000e+00
4.217616e+05,3.855588e+06,2.250300e+01,2.789482e-01,9.006000e+04,1.291250e-02,1.398797e-10,0.000000e+00
4.220214e+05,3.855738e+06,2.361200e+01,2.930318e-01,9.006000e+04,1.171459e-02,1.269028e-10,0.000000e+00
4.222812e+05,3.855888e+06,2.391900e+01,3.103895e-01,9.006000e+04,1.091753e-02,1.182684e-10,0.000000e+00
4.225371e+05,3.856036e+06,2.248900e+01,3.145093e-01,8.735911e+04,1.111596e-02,1.241409e-10,0.000000e+00
4.227821e+05,3.856178e+06,2.243400e+01,2.600182e-01,8.238000e+04,1.271024e-02,1.505248e-10,0.000000e+00
4.230132e+05,3.856311e+06,2.223700e+01,2.585771e-01,7.773000e+04,1.216648e-02,1.527047e-10,0.000000e+00
4.232312e+05,3.856437e+06,2.180600e+01,1.493111e-01,7.335000e+04,2.027564e-02,2.696812e-10,0.000000e+00
4.234369e+05,3.856556e+06,2.170000e+01,1.303428e-01,6.918000e+04,2.201286e-02,3.104360e-10,0.000000e+00
4.236309e+05,3.856668e+06,1.500000e+01,1.057142e-01,6.522000e+04,3.701680e-02,5.537251e-10,0.000000e+00
4.238140e+05,3.856774e+06,1.781800e+01,7.780548e-02,6.162000e+04,4.000323e-02,6.333583e-10,0.000000e+00
4.135575e+05,3.851198e+06,8.666000e+00,3.199292e-02,9.000000e+04,2.921544e-01,3.166985e-09,8.000000e-03
4.138173e+05,3.851348e+06,6.033000e+00,4.092915e-02,9.000000e+04,3.280341e-01,3.555925e-09,4.000000e-03
4.140771e+05,3.851498e+06,6.629000e+00,2.510335e-02,9.000000e+04,4.867492e-01,5.276415e-09,7.000000e-03
4.143369e+05,3.851648e+06,9.438000e+00,1.623074e-01,9.003000e+04,5.289461e-02,5.731923e-10,-1.000000e-03
4.145968e+05,3.851798e+06,1.531600e+01,1.554009e-01,9.000000e+04,3.403190e-02,3.689095e-10,0.000000e+00
4.148566e+05,3.851948e+06,2.194500e+01,1.702284e-01,9.000000e+04,2.168291e-02,2.350451e-10,0.000000e+00
4.151164e+05,3.852098e+06,2.172900e+01,1.858873e-01,9.000000e+04,2.005375e-02,2.173848e-10,0.000000e+00
4.153762e+05,3.852248e+06,2.211400e+01,2.037960e-01,9.000000e+04,1.797306e-02,1.948299e-10,0.000000e+00
4.156360e+05,3.852398e+06,2.239200e+01,2.156552e-01,9.000000e+04,1.677383e-02,1.818301e-10,0.000000e+00
4.158958e+05,3.852548e+06,2.221000e+01,2.250659e-01,9.000000e+04,1.620417e-02,1.756549e-10,0.000000e+00
4.161556e+05,3.852698e+06,2.214700e+01,2.361554e-01,9.000000e+04,1.548717e-02,1.678826e-10,0.000000e+00
4.164154e+05,3.852848e+06,2.224200e+01,2.477780e-01,9.000000e+04,1.469767e-02,1.593243e-10,0.000000e+00
4.166752e+05,3.852998e+06,2.225400e+01,2.595269e-01,9.000000e+04,1.402473e-02,1.520296e-10,0.000000e+00
4.169350e+05,3.853148e+06,2.244800e+01,2.700525e-01,9.000000e+04,1.336162e-02,1.448414e-10,0.000000e+00
4.171948e+05,3.853298e+06,2.275900e+01,2.758086e-01,9.000000e+04,1.290399e-02,1.398806e-10,0.000000e+00
4.174546e+05,3.853448e+06,2.276100e+01,2.760067e-01,9.000000e+04,1.289360e-02,1.397680e-10,0.000000e+00
4.177144e+05,3.853598e+06,2.278400e+01,2.656215e-01,9.003000e+04,1.338864e-02,1.450860e-10,0.000000e+00
4.179743e+05,3.853748e+06,2.297300e+01,2.475750e-01,9.000000e+04,1.424166e-02,1.543811e-10,0.000000e+00
4.182341e+05,3.853898e+06,2.312700e+01,2.290714e-01,9.000000e+04,1.528955e-02,1.657404e-10,0.000000e+00
4.184939e+05,3.854048e+06,2.313000e+01,2.152549e-01,9.000000e+04,1.626883e-02,1.763559e-10,0.000000e+00
4.187537e+05,3.854198e+06,2.311800e+01,2.005800e-01,9.000000e+04,1.746816e-02,1.893568e-10,0.000000e+00
4.190135e+05,3.854348e+06,2.325500e+01,1.827657e-01,9.000000e+04,1.905785e-02,2.065892e-10,0.000000e+00
4.192733e+05,3.854498e+06,2.231900e+01,1.706482e-01,9.000000e+04,2.126712e-02,2.305378e-10,0.000000e+00
4.195331e+05,3.854648e+06,2.223200e+01,2.933286e-01,9.000000e+04,1.242087e-02,1.346436e-10,0.000000e+00
4.197929e+05,3.854798e+06,1.432100e+01,1.141945e-01,9.000000e+04,4.952981e-02,5.369085e-10,0.000000e+00
4.208321e+05,3.855398e+06,9.122000e+00,2.335519e-01,9.000000e+04,3.801995e-02,4.121403e-10,0.000000e+00
4.210919e+05,3.855548e+06,1.297900e+01,3.001308e-01,9.003000e+04,2.080070e-02,2.254067e-10,0.000000e+00
4.213518e+05,3.855698e+06,2.254600e+01,3.338453e-01,9.000000e+04,1.076144e-02,1.166551e-10,0.000000e+00
4.216116e+05,3.855848e+06,2.408900e+01,3.711160e-01,9.000000e+04,9.060591e-03,9.821779e-11,0.000000e+00
4.218714e+05,3.855998e+06,2.280000e+01,4.446552e-01,9.000000e+04,7.989632e-03,8.660848e-11,0.000000e+00
4.221312e+05,3.856148e+06,2.195300e+01,5.247076e-01,9.000000e+04,7.031918e-03,7.622675e-11,0.000000e+00
